id,timestamp,price,market_cap,total_volume,ath,atl,open,high,low,close
bitcoin,2025-01-27,102552.24874280207,2036324005947.406,20639818380.26942,126080.0,67.81,102552.24874280207,102552.24874280207,102552.24874280207,102552.24874280207
bitcoin,2025-01-28,101958.46953745594,2019295541213.5288,93191643783.24739,126080.0,67.81,101958.46953745594,101958.46953745594,101958.46953745594,101958.46953745594
bitcoin,2025-01-29,101313.11264498268,2007072201507.5273,45780526813.56264,126080.0,67.81,101313.11264498268,101313.11264498268,101313.11264498268,101313.11264498268
bitcoin,2025-01-30,103718.97939813645,2056581551171.7,47425401641.53094,126080.0,67.81,103718.97939813645,103718.97939813645,103718.97939813645,103718.97939813645
bitcoin,2025-01-31,104781.5135100103,2076760153260.6191,42122570869.034325,126080.0,67.81,104781.5135100103,104781.5135100103,104781.5135100103,104781.5135100103
bitcoin,2025-02-01,102382.39409722165,2028504133577.489,37187819228.35328,126080.0,67.81,102382.39409722165,102382.39409722165,102382.39409722165,102382.39409722165
bitcoin,2025-02-02,100674.78762544956,1996423711261.7268,22827776122.48367,126080.0,67.81,100674.78762544956,100674.78762544956,100674.78762544956,100674.78762544956
bitcoin,2025-02-03,97568.31653024875,1933691439792.2544,59784234332.21204,126080.0,67.81,97568.31653024875,97568.31653024875,97568.31653024875,97568.31653024875
bitcoin,2025-02-04,101466.8606657039,2011121374511.8835,122163969235.23686,126080.0,67.81,101466.8606657039,101466.8606657039,101466.8606657039,101466.8606657039
bitcoin,2025-02-05,98118.43921664466,1943535291172.1597,73196693057.98114,126080.0,67.81,98118.43921664466,98118.43921664466,98118.43921664466,98118.43921664466
bitcoin,2025-02-06,96582.88682919052,1912584628590.309,48848958931.79228,126080.0,67.81,96582.88682919052,96582.88682919052,96582.88682919052,96582.88682919052
bitcoin,2025-02-07,96635.41875332211,1915093756057.5637,44462180396.172516,126080.0,67.81,96635.41875332211,96635.41875332211,96635.41875332211,96635.41875332211
bitcoin,2025-02-08,96558.4563096667,1911296376425.356,57077722340.22422,126080.0,67.81,96558.4563096667,96558.4563096667,96558.4563096667,96558.4563096667
bitcoin,2025-02-09,96558.23762501091,1914211835440.1182,20760850644.84597,126080.0,67.81,96558.23762501091,96558.23762501091,96558.23762501091,96558.23762501091
bitcoin,2025-02-10,96548.57865379585,1913068773356.083,25457107581.051964,126080.0,67.81,96548.57865379585,96548.57865379585,96548.57865379585,96548.57865379585
bitcoin,2025-02-11,97399.98161383197,1930742951090.367,37054987393.57789,126080.0,67.81,97399.98161383197,97399.98161383197,97399.98161383197,97399.98161383197
bitcoin,2025-02-12,95739.97737079239,1898788887978.3252,36454577154.5622,126080.0,67.81,95739.97737079239,95739.97737079239,95739.97737079239,95739.97737079239
bitcoin,2025-02-13,97836.18856127483,1936842454813.9983,47115618235.19051,126080.0,67.81,97836.18856127483,97836.18856127483,97836.18856127483,97836.18856127483
bitcoin,2025-02-14,96561.6639990985,1914315097486.3862,29084371910.690556,126080.0,67.81,96561.6639990985,96561.6639990985,96561.6639990985,96561.6639990985
bitcoin,2025-02-15,97488.48148536457,1931656846871.4856,32289906944.92862,126080.0,67.81,97488.48148536457,97488.48148536457,97488.48148536457,97488.48148536457
